#START7777
#--------------------------------------------------------------------------------------------------
#  TA     : 정시기온 (C) 
#  WD     : 정시 10분 평균 풍향 (degee) 
#  WS     : 정시 10분 평균 풍속 (m/s) 
#  RN_DAY : 해당시간까지의 일강수량 (mm) 
#  RN_HR1 : 1시간 강수량 (mm) 
#  HM     : 정시습도 (%) 
#  PA     : 정시 현지기압 (hPa) 
#  PS     : 정시 해면기압 (hPa) 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN     TA     WD     WS RN_DAY RN_HR1     HM     PA     PS
#        KST    ID      C    deg    m/s     mm     mm      %    hPa    hPa
202606190000   108   24.7  234.9    2.1    0.0    0.0   65.5  999.4 1009.2
202606190100   108   24.2  270.5    2.1    0.0    0.0   66.6  999.4 1009.2
202606190200   108   23.8  283.1    1.4    0.0    0.0   66.4  999.1 1008.9
202606190300   108   23.4   57.6    0.1    0.0    0.0   67.7  998.9 1008.7
202606190400   108   23.0   33.4    1.1    0.0    0.0   71.0  998.6 1008.4
202606190500   108   22.7   46.5    1.7    0.0    0.0   72.4  998.8 1008.6
202606190600   108   22.7   29.7    1.7    0.0    0.0   75.2  998.8 1008.6
202606190700   108   24.1   45.0    1.3    0.0    0.0   71.8  999.0 1008.8
202606190800   108   26.0   53.4    1.8    0.0    0.0   66.4  999.0 1008.7
202606190900   108   28.0   49.2    2.2    0.0    0.0   60.6  998.6 1008.2
202606191000   108   29.7   41.5    1.8    0.0    0.0   53.7  998.2 1007.8
202606191100   108   31.7   99.5    1.6    0.0    0.0   46.7  997.8 1007.3
202606191200   108   32.3  119.7    1.8    0.0    0.0   45.7  997.1 1006.6
202606191300   108   32.9  134.4    2.7    0.0    0.0   43.0  996.7 1006.2
202606191400   108   33.0  208.1    2.6    0.0    0.0   43.8  995.9 1005.4
202606191500   108   33.3  188.3    3.1    0.0    0.0   41.8  995.5 1004.9
202606191600   108   31.4  293.4    3.1    0.0    0.0   51.0  995.6 1005.1
202606191700   108   25.6  269.3    2.2    2.0    2.0   74.1  996.0 1005.7
202606191800   108   24.8   42.1    1.9    2.0    0.0   76.5  995.7 1005.4
202606191900   108   24.1  292.0    0.8    6.4    4.4   86.3  996.0 1005.8
202606192000   108   23.9   41.0    2.9    6.9    0.5   88.4  995.8 1005.6
202606192100   108   23.7   55.1    3.1    7.1    0.2   88.5  996.0 1005.8
202606192200   108   23.5   51.8    2.5    7.3    0.2   88.9  995.8 1005.6
202606192300   108   23.3   47.0    2.8    7.6    0.3   88.7  994.9 1004.7
202606200000   108   23.0   59.6    2.6    8.0    0.4   90.1  993.9 1003.7
202606200100   108   22.7   57.6    2.7    0.5    0.5   91.6  992.3 1002.1
202606200200   108   22.3   55.5    3.3   10.3    9.8   95.1  991.2 1001.0
202606200300   108   22.0   56.9    3.3   20.0    9.7   95.7  989.8  999.6
202606200400   108   21.6   55.5    3.6   27.4    7.4   96.4  988.6  998.4
202606200500   108   21.2   59.5    4.0   39.3   11.9   96.9  987.6  997.4
202606200600   108   21.1   54.9    4.0   54.6   15.3   97.3  987.1  996.9
202606200700   108   21.0   55.3    4.6   60.0    5.4   97.4  986.6  996.4
202606200800   108   20.6   58.8    4.9   62.9    2.9   95.8  986.5  996.3
202606200900   108   20.8   60.5    3.3   63.3    0.4   95.1  986.6  996.4
202606201000   108   20.6   65.1    3.1   64.1    0.8   95.4  986.5  996.3
202606201100   108   20.6   51.3    4.5   69.2    5.1   96.5  986.8  996.6
202606201200   108   20.9   59.0    4.0   70.4    1.2   95.5  987.1  996.9
202606201300   108   21.3   54.6    3.1   70.9    0.5   95.7  987.4  997.2
